country,year,child_mortality,gdp_per_capita_usd,health_exp_pc_usd,life_expectancy_years,urban_population_pct
JPN,2010.0,3.3,44968.1562349739,4071.80200195,82.8426829268293,90.812
JPN,2011.0,3.3,48760.0789494211,5103.34326172,82.5912195121951,91.069
JPN,2012.0,3.1,49145.2804308193,5232.36279297,83.0960975609756,91.148
JPN,2013.0,3.0,40898.6478964744,4356.15527344,83.3319512195122,91.226
JPN,2014.0,2.9,38475.3952461838,4121.21142578,83.5878048780488,91.304
JPN,2015.0,2.8,34960.6393843385,3754.18115234,83.7939024390244,91.381
JPN,2016.0,2.7,39375.4731620781,4194.22802734,83.9848780487805,91.457
JPN,2017.0,2.6,38834.0529341227,4135.24316406,84.099756097561,91.535
JPN,2018.0,2.5,39751.1330982711,4265.77929688,84.2109756097561,91.616
JPN,2019.0,2.5,40415.9567649547,4431.29980469,84.3563414634146,91.698
JPN,2020.0,2.4,40028.7341726762,4486.63671875,84.56,91.782
JPN,2021.0,2.4,40094.5599795288,4482.61816406,84.4456097560976,91.867
JPN,2022.0,2.4,34065.6438962526,3889.35717773,83.9963414634146,91.955
JPN,2023.0,2.4,33836.1756271617,,84.0412195121951,92.043
NGA,2000.0,182.3,547.318298903379,17.15887642,47.143,34.84
NGA,2001.0,176.8,566.428231812933,17.96053314,47.549,35.669
NGA,2002.0,171.1,712.164852077686,17.53752899,48.02,36.508
NGA,2003.0,165.4,763.388745367223,37.91439438,48.618,37.356
NGA,2004.0,159.8,962.48104194733,42.81798172,49.148,38.212
NGA,2005.0,154.5,1211.37703504386,52.24337006,49.538,39.074
NGA,2006.0,149.6,1599.53891556365,63.63072205,49.876,39.943
NGA,2007.0,145.2,1815.52697545827,66.90659332,50.381,40.819
NGA,2008.0,141.3,2154.10543545364,77.45053101,50.748,41.702
NGA,2009.0,138.0,1820.48633854782,65.71811676,51.08,42.588
NGA,2010.0,135.1,2202.25672957344,73.008255,51.315,43.48
NGA,2011.0,132.9,2418.41316975875,80.2377243,51.49,44.366
NGA,2012.0,130.9,2633.19734671361,87.89523315,51.688,45.246
NGA,2013.0,129.3,2872.79083379398,97.29588318,51.827,46.118
NGA,2014.0,127.9,3088.72131316169,102.39888763,51.94,46.982
NGA,2015.0,126.4,2585.73360671797,92.91207123,51.939,47.838
NGA,2016.0,124.8,2070.4127339595,75.52328491,52.189,48.683
NGA,2017.0,122.8,1876.34027111773,70.31814575,52.397,49.519
NGA,2018.0,120.2,2057.87944554011,63.60244751,52.669,50.344
NGA,2019.0,117.5,2265.15520863056,67.6254425,53.009,51.157
NGA,2020.0,114.4,2019.65706326224,67.91384888,53.072,51.958
NGA,2021.0,111.3,2017.27486481527,81.87322235,53.455,52.746
NGA,2022.0,108.1,2139.37478476974,90.92185211,54.079,53.521
NGA,2023.0,104.9,1596.63696129001,,54.462,54.283
USA,2000.0,8.4,36329.9702595751,4548.5546875,76.6365853658537,79.057
USA,2001.0,8.3,37133.6203973517,4901.67529297,76.8365853658537,79.234
USA,2002.0,8.2,37997.7424300242,5327.93701172,76.9365853658537,79.409
USA,2003.0,8.1,39490.3023903176,5732.24365234,77.0365853658537,79.583
USA,2004.0,8.1,41724.6411982614,6071.84423828,77.4878048780488,79.757
USA,2005.0,8.0,44123.3996470026,6428.60205078,77.4878048780488,79.928
USA,2006.0,7.9,46301.9876485519,6802.47509766,77.6878048780488,80.099
USA,2007.0,7.7,48050.227412195,7153.73144531,77.9878048780488,80.269
USA,2008.0,7.6,48570.0594269601,7364.93847656,78.0390243902439,80.438
USA,2009.0,7.5,47194.9500893872,7614.82421875,78.390243902439,80.606
USA,2010.0,7.3,48642.6312088213,7836.08837891,78.5414634146342,80.772
USA,2011.0,7.2,50024.8812320773,8015.78076172,78.6414634146341,80.944
USA,2012.0,7.0,51708.3940614082,8262.29101563,78.7414634146342,81.119
USA,2013.0,6.9,53297.3862901595,8411.42871094,78.7414634146342,81.299
USA,2014.0,6.8,55153.3940182967,8796.18261719,78.8414634146341,81.483
USA,2015.0,6.8,56849.4697923159,9200.85839844,78.690243902439,81.671
USA,2016.0,6.7,57976.628204291,9536.20605469,78.5390243902439,81.862
USA,2017.0,6.6,60047.7190728307,9822.37890625,78.5390243902439,82.058
USA,2018.0,6.5,62875.6661382728,10182.25585938,78.6390243902439,82.256
USA,2019.0,6.5,65227.9565911038,10546.01367188,78.7878048780488,82.459
USA,2020.0,6.5,64401.5074354212,11672.77050781,76.9804878048781,82.664
USA,2021.0,6.5,71307.4017277218,11999.09082031,76.3292682926829,82.873
USA,2022.0,6.5,77860.9112908848,12434.43359375,77.4341463414634,83.084
USA,2023.0,6.5,82304.6204272866,,78.3853658536585,83.298
