year,indicator,BRA,CHN,DEU,FRA,GBR,IND,ITA,JPN,NGA,USA
2014.0,life_expectancy_years,74.823,76.714,81.090243902439,82.719512195122,81.3048780487805,68.932,83.090243902439,83.5878048780488,51.94,78.8414634146341
2014.0,urban_population_pct,85.492,54.259,77.19,79.394,82.365,32.384,69.272,91.304,46.982,81.483
2015.0,child_mortality,16.0,10.7,3.9,4.2,4.5,43.6,3.5,2.8,126.4,6.8
2015.0,gdp_per_capita_usd,8936.19661712113,8175.33285077393,41911.0109851054,36702.4323733379,44983.885522934,1583.99815907985,30639.8829751432,34960.6393843385,2585.73360671797,56849.4697923159
2015.0,health_exp_pc_usd,796.15252686,393.09768677,4627.27587891,4198.72900391,4440.73828125,58.12401581,2675.67163086,3754.18115234,92.91207123,9200.85839844
2015.0,life_expectancy_years,75.106,76.975,80.6414634146341,82.3219512195122,80.9560975609756,69.326,82.5439024390244,83.7939024390244,51.939,78.690243902439
2015.0,urban_population_pct,85.77,55.5,77.2,79.655,82.626,32.777,69.565,91.381,47.838,81.671
2016.0,child_mortality,16.8,9.9,3.9,4.2,4.4,41.1,3.4,2.7,124.8,6.7
2016.0,gdp_per_capita_usd,8836.28652735657,8254.86859320357,42961.0356905775,37024.2157133669,40988.1044233026,1707.50892912243,31391.5692898108,39375.4731620781,2070.4127339595,57976.628204291
2016.0,health_exp_pc_usd,810.20037842,398.17489624,4746.77539063,4264.14599609,4016.63916016,59.72652817,2699.73291016,4194.22802734,75.52328491,9536.20605469
2016.0,life_expectancy_years,75.081,77.214,80.990243902439,82.5731707317073,81.1560975609756,69.709,83.2439024390244,83.9848780487805,52.189,78.5390243902439
2016.0,urban_population_pct,86.042,56.736,77.224,79.917,82.886,33.182,69.855,91.457,48.683,81.862
2017.0,child_mortality,15.4,9.2,3.8,4.2,4.4,38.7,3.3,2.6,122.8,6.6
2017.0,gdp_per_capita_usd,10080.5092819305,8979.67652709856,45526.5999576533,38687.1626407164,40629.2340347345,1950.10468280866,32844.115660604,38834.0529341227,1876.34027111773,60047.7190728307
2017.0,health_exp_pc_usd,954.75012207,439.94006348,5065.43164063,4416.79199219,3907.82226563,56.66844559,2809.72143555,4135.24316406,70.31814575,9822.37890625
2017.0,life_expectancy_years,75.383,77.235,80.9926829268293,82.5756097560976,81.2560975609756,70.068,82.9463414634147,84.099756097561,52.397,78.5390243902439
2017.0,urban_population_pct,86.309,57.96,77.261,80.18,83.143,33.6,70.144,91.535,49.519,82.058
2018.0,child_mortality,15.2,8.6,3.8,4.2,4.4,36.4,3.2,2.5,120.2,6.5
2018.0,gdp_per_capita_usd,9300.66164923219,10085.6638148819,48874.8595028454,41418.1766484844,43315.4874501318,1966.25455171679,34904.1081923834,39751.1330982711,2057.87944554011,62875.6661382728
2018.0,health_exp_pc_usd,880.28430176,504.10980225,5507.67675781,4667.95751953,4219.48632813,57.46551132,3002.76123047,4265.77929688,63.60244751,10182.25585938
2018.0,life_expectancy_years,75.633,77.709,80.8926829268293,82.6756097560976,81.2560975609756,70.415,83.3463414634146,84.2109756097561,52.669,78.6390243902439
2018.0,urban_population_pct,86.569,59.152,77.312,80.444,83.398,34.03,70.438,91.616,50.344,82.256
2019.0,child_mortality,15.0,8.0,3.7,4.2,4.4,34.3,3.1,2.5,117.5,6.5
2019.0,gdp_per_capita_usd,9029.83326681073,10342.9009524335,47623.8656074829,40408.2848574751,42794.0022648288,2041.42863698585,33812.788724868,40415.9567649547,2265.15520863056,65227.9565911038
2019.0,health_exp_pc_usd,868.17248535,538.99157715,5488.53955078,4508.76074219,4258.63476563,60.6913681,2910.64672852,4431.29980469,67.6254425,10546.01367188
2019.0,life_expectancy_years,75.809,77.94,81.2926829268293,82.8268292682927,81.3691219512195,70.746,83.4975609756098,84.3563414634146,53.009,78.7878048780488
2019.0,urban_population_pct,86.824,60.308,77.376,80.709,83.652,34.472,70.736,91.698,51.157,82.459
2020.0,child_mortality,14.9,7.5,3.7,4.2,4.4,32.4,3.0,2.4,114.4,6.5
2020.0,gdp_per_capita_usd,7074.19378337644,10627.4637989619,47379.765194548,39169.8606000707,40404.8062238951,1907.04251637669,32091.4866621366,40028.7341726762,2019.65706326224,64401.5074354212
2020.0,health_exp_pc_usd,680.76843262,582.95092773,5932.20019531,4747.51367188,4816.15283203,63.83099747,3062.09838867,4486.63671875,67.91384888,11672.77050781
2020.0,life_expectancy_years,74.506,78.019,81.0414634146342,82.1756097560976,80.331756097561,70.156,82.1951219512195,84.56,53.072,76.9804878048781
2020.0,urban_population_pct,87.073,61.428,77.453,80.975,83.903,34.926,71.039,91.782,51.958,82.664
